shape_id,shape_pt_sequence,shape_pt_lon,shape_pt_lat
1011,178,127.8032777,26.3335719
1011,179,127.8034948,26.3333957
1011,180,127.8036087,26.3333973
1011,181,127.8039958,26.3336844
1011,182,127.804501,26.334087
2011,1,127.804507,26.334091
2011,2,127.8045074,26.33409133
2011,3,127.804602,26.334163
2011,4,127.804786,26.333984
2011,5,127.803762,26.333164
2011,6,127.804307,26.332753
2011,7,127.8054,26.332608
2011,8,127.805669,26.332509
2011,9,127.806054,26.332187
2011,10,127.806579,26.33155
2011,11,127.807237,26.330942
2011,12,127.807747,26.330695
2011,13,127.808299,26.331639
2011,14,127.808751,26.331961
2011,15,127.8092386,26.3320715
2011,16,127.814228,26.333202
2011,17,127.8150168,26.33358807
2011,18,127.817722,26.334912
2011,19,127.818843,26.335531
2011,20,127.819332,26.335982
2011,21,127.8194329,26.33612057
2011,22,127.82105,26.338342
2011,23,127.822506,26.341334
2011,24,127.823212,26.341993
2011,25,127.823791,26.34235
2011,26,127.8241503,26.34170994
2011,27,127.825071,26.34007
2011,28,127.826235,26.340539
2011,29,127.828278,26.341601
2011,30,127.827936,26.34219476
2011,31,127.8250051,26.34728285
2011,32,127.823593,26.349734
2011,33,127.822841,26.352014
2011,34,127.822563,26.353252
2011,35,127.8221498,26.3531734
2011,36,127.821743,26.353096
2011,37,127.817676,26.351903
2011,38,127.8177948,26.3515027
2011,39,127.8186154,26.34873876
2011,40,127.818903,26.34777
2011,41,127.8173688,26.34713285
2011,42,127.816016,26.346571
2011,43,127.8143945,26.34603969
2011,44,127.813251,26.345665
2011,45,127.81352,26.344908
2011,46,127.813736,26.342516
2011,47,127.815579,26.339158
2011,48,127.8147986,26.33877496
2011,49,127.814542,26.338649
2011,50,127.814137,26.338523
2011,51,127.810419,26.338008
2011,52,127.8102124,26.33881942
2011,53,127.810157,26.339037
2011,54,127.810362,26.339488
2011,55,127.810371,26.339773
2011,56,127.810165,26.340135
2011,57,127.809256,26.341151
2011,58,127.8088474,26.34142068
2011,59,127.808547,26.341619
2011,60,127.808408,26.341921
2011,61,127.808434,26.342182
2011,62,127.808702,26.342835
2011,63,127.808777,26.343572
2011,64,127.808161,26.34367
2011,65,127.807926,26.343917
2011,66,127.80775,26.343986
2011,67,127.806911,26.344028
2011,68,127.806627,26.3441
2011,69,127.806396,26.344076
2011,70,127.806073,26.343888
2011,71,127.805772,26.343787
2011,72,127.8055192,26.34365139
2011,73,127.805293,26.34353
2011,74,127.804218,26.3431
2011,75,127.803912,26.343561
2011,76,127.803629,26.344135
2011,77,127.803707,26.344406
2011,78,127.80275,26.344822
2011,79,127.802621,26.345408
2011,80,127.8026134,26.34566011
2011,81,127.802585,26.346607
2011,82,127.80244,26.346735
2011,83,127.801494,26.346733
2011,84,127.7996942,26.34365247
2011,85,127.799178,26.342769
2011,86,127.798896,26.341935
2011,87,127.7988862,26.3408773
2011,88,127.798882,26.340417
2011,89,127.798502,26.339763
2011,90,127.79825,26.339489
2011,91,127.797784,26.339176
2011,92,127.79876,26.337622
2011,93,127.799133,26.33720492
2011,94,127.79953,26.336761
2011,95,127.798405,26.336301
2011,96,127.7995046,26.33571183
2011,97,127.800932,26.334947
2011,98,127.801944,26.334603
2011,99,127.802573,26.334168
2011,100,127.803551,26.333354
2011,101,127.804501,26.334087
3011,1,127.828953,26.388333
3011,2,127.8289527,26.38833423
3011,3,127.828946,26.388364
3011,4,127.828707,26.38854
3011,5,127.828597,26.388675
3011,6,127.828484,26.388635
3011,7,127.82858,26.388417
3011,8,127.82864,26.388136
3011,9,127.828598,26.387648
3011,10,127.827864,26.386231
3011,11,127.827791,26.386023
3011,12,127.828013,26.385638
3011,13,127.828462,26.385066
3011,14,127.828594,26.384796
3011,15,127.828683,26.384539
3011,16,127.828712,26.384174
3011,17,127.828682,26.384116
3011,18,127.828705,26.384093
3011,19,127.828679,26.38411
3011,20,127.828324,26.383427
3011,21,127.827987,26.382465
3011,22,127.827609,26.381049
3011,23,127.827558,26.380459
3011,24,127.827585,26.380342
3011,25,127.827829,26.379829
3011,26,127.827888,26.379585
3011,27,127.827877,26.37932
3011,28,127.82776,26.378958
3011,29,127.827715,26.378898
3011,30,127.827735,26.378878
3011,31,127.82771,26.378892
3011,32,127.827563,26.378699
3011,33,127.826868,26.378536
3011,34,127.826237,26.378532
3011,35,127.825894,26.378648
3011,36,127.825545,26.378868
3011,37,127.825401,26.378919
3011,38,127.824839,26.378984
3011,39,127.824138,26.378557
3011,40,127.822139,26.377149
3011,41,127.821715,26.376605
3011,42,127.821631,26.376446
3011,43,127.821663,26.37642
3011,44,127.821624,26.376432
3011,45,127.821525,26.376244
3011,46,127.821155,26.374752
3011,47,127.820611,26.371881
3011,48,127.820646,26.37186
3011,49,127.820609,26.371871
3011,50,127.820586,26.371743
3011,51,127.82042,26.371186
3011,52,127.820216,26.37075
3011,53,127.819732,26.370057
3011,54,127.817843,26.367742
3011,55,127.817274,26.367156
3011,56,127.817132,26.367104
3011,57,127.816976,26.36715
3011,58,127.815802,26.368144
3011,59,127.816147,26.368351
3011,60,127.816303,26.368246
3011,61,127.8163403,26.36825843
3011,62,127.816342,26.368259
3011,63,127.816324,26.368232
3011,64,127.816672,26.367998
3011,65,127.816412,26.367681
3011,66,127.817011,26.367179
3011,67,127.817136,26.367174
3011,68,127.817431,26.367439
3011,69,127.817656,26.36744
3011,70,127.819529,26.366281
3011,71,127.81957,26.366297
3011,72,127.8195687,26.36629362
3011,73,127.819557,26.366264
